Read blend: "/home/user/liuflexrobo/GLIMMER/blend/final/GLIMMER_master.blend"
Fra:590 Mem:135.06M (Peak 135.06M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_010_swarm
Fra:590 Mem:135.07M (Peak 135.07M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_abdomen
Fra:590 Mem:135.09M (Peak 135.09M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_body
Fra:590 Mem:135.11M (Peak 135.11M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_wing_L
Fra:590 Mem:135.11M (Peak 135.11M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_wing_R
Fra:590 Mem:135.11M (Peak 135.11M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_010_dot_src
Fra:590 Mem:135.12M (Peak 135.12M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_010_swarm
Fra:590 Mem:134.92M (Peak 135.12M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_ff_practical
Fra:590 Mem:134.92M (Peak 135.12M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_sun
Fra:590 Mem:134.92M (Peak 135.12M) | Time:00:00.28 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_moon
Fra:590 Mem:134.92M (Peak 135.12M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_shaft_0
Fra:590 Mem:134.92M (Peak 135.12M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_shaft_1
Fra:590 Mem:134.92M (Peak 135.12M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_char_fill
Fra:590 Mem:134.92M (Peak 135.12M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_night_rim
Fra:590 Mem:134.92M (Peak 135.12M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_night_fill
Fra:590 Mem:134.92M (Peak 135.12M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_robot_key
Fra:590 Mem:135.69M (Peak 135.69M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_antenna
Fra:590 Mem:136.07M (Peak 136.07M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_head
Fra:590 Mem:138.88M (Peak 138.88M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TWIG_A
Fra:590 Mem:138.92M (Peak 138.92M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TWIG_B
Fra:590 Mem:139.21M (Peak 139.21M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_head_hatch
Fra:590 Mem:139.23M (Peak 139.23M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_head_seam
Fra:590 Mem:139.23M (Peak 139.23M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_eye_rim_L
Fra:590 Mem:139.25M (Peak 139.25M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_eye_L
Fra:590 Mem:139.30M (Peak 139.30M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_iris_L
Fra:590 Mem:139.32M (Peak 139.32M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_eye_rim_R
Fra:590 Mem:139.34M (Peak 139.34M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_eye_R
Fra:590 Mem:139.39M (Peak 139.39M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_iris_R
Fra:590 Mem:139.41M (Peak 139.41M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_antenna_tip
Fra:590 Mem:139.42M (Peak 139.42M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_torso
Fra:590 Mem:139.43M (Peak 139.43M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_torso_panel
Fra:590 Mem:139.45M (Peak 139.45M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_rivets
Fra:590 Mem:139.49M (Peak 139.49M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_vents
Fra:590 Mem:139.50M (Peak 139.50M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_neck
Fra:590 Mem:139.50M (Peak 139.50M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_shoulder_L
Fra:590 Mem:139.53M (Peak 139.53M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_upperarm_L
Fra:590 Mem:139.55M (Peak 139.55M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_forearm_L
Fra:590 Mem:139.55M (Peak 139.55M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_hand_L
Fra:590 Mem:139.62M (Peak 139.62M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_shoulder_R
Fra:590 Mem:139.65M (Peak 139.65M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_upperarm_R
